id	category	utterance	plan
multiEventsOrganizerBySubject		Who is the organizer of Standup	"theEvent(called(""Standup"")).attendees.organizer"
multiEventsAttendeesBySubject		Who is required at Standup?	"theEvent(called(""Standup"")).attendees.withType(AttendeeType.required)"
isPersonOrganizerMultipleEvents		Is Brad the organizer of Standup?	"theEvent(called(""Standup"")).organizerIs(thePerson(""Brad""))"
nextEventsWithAttendee		What is the next thing I have with Brad?	"theEvent(next[Event] and with_(""Brad""))"
lastMultipleEventsTomorrow		What time is my last meeting tomorrow?	theEvent(last[Event] and queryAt(tomorrow)).start
lastEventXDaysFromDOW		Show me my last meeting 2 days before next Sunday	theEvent(last[Event] and queryAt(theDate(next[Date] /& Sunday) - 2.days))
lastEventXDaysFromDOW2		Show me my last meeting 4 days before next Wednesday	theEvent(last[Event] and queryAt(theDate(next[Date] /& Wednesday) - 4.days))
unspecifiedErrorTest		Create an event with a location	createEvent(locatedAt(locationNamed(unspecified[String])))
checkAvailability1	p3	Is Jesse free today?	"availabilityExcludingMe(with_(""Jesse"") and createAt(today)).nonEmpty"
fenceCheckAvailability2	p3	Check Jesse's availability for Friday at 2 pm	"availabilityExcludingMe(with_(""Jesse"") and createAt(2.pm on Friday))"
checkAvailability3	p3	Is Jesse busy right now?	"availabilityExcludingMe(with_(""Jesse"") and createAt(now)).nonEmpty"
fenceCheckAvailability4	p3	Check my availability for next week	availabilityIncludingMe(createAt(next[Interval[Date]] and isWeek))
checkAvailability5	p3	What time am I free today?	availabilityIncludingMe(createAt(today))
checkAvailability6	p3	Am I free between 3 and 5 pm today?	availabilityIncludingMe(createAt(timeInterval(3.pm, 5.pm) on today)).nonEmpty
checkAvailability7	p3	Am I free on the 25th for a meeting?	availabilityIncludingMe(createAt(25)).nonEmpty
personAvailableDayTime	p3	Is Josh free for a meeting on Friday at 10 am?	"availabilityExcludingMe(with_(""Josh"") and createAt(10.am on Friday)).nonEmpty"
FenceCheckAvailability8	p3	When is my Standup event?	"theEvent(called(""Standup"")).start"
FenceCheckAvailability8	p3	Do you know if Kelly is available during that time?	"availabilityExcludingMe(with_(""Kelly"") and createAt(that[Interval[Instant]])).nonEmpty"
checkAvailability9	p3	When is my Planning event?	"theEvent(called(""Planning"")).start"
checkAvailability9	p3	Do you know if John is available during that time?	"availabilityExcludingMe(with_(""John"") and createAt(that[Interval[Instant]])).nonEmpty"
checkAvailability10	p3	Am I free to have a 45 minute meeting right now?	availabilityIncludingMe(lastsFor(45.minutes) and createAt(now)).nonEmpty
checkAvailability right after the meeting with subject - free	p3	Am I free right after product stand up tomorrow?	"availabilityIncludingMe(rightAfter(theEvent(called(""product stand up"") and queryAt(tomorrow)))).nonEmpty"
checkAvailability with salient event date and 2 people - free	p3	When is my next meeting with Josh and Leah?	"theEvent((next[Event] and with_(""Josh"")) and with_(""Leah"")).start"
checkAvailability with salient event date and 2 people - free	p3	What is their availability on that day at 2 pm?	availabilityExcludingMe(with_(theEvent(that[Event]).attendees.otherPeople) and startsAt(2.pm on theDate(that[Date])))
createAllDayWithDate	p3	Create all day meeting on Friday	createEvent(isAllDay and createAt(Friday))
CreateEventBeforeTheEndOfBusinessHours	p3	Create a meeting before the end of business tomorrow.	createEvent(createAt(before(businessHours.upper) on tomorrow))
CreateEventBeforeTheStartOfBusinessHours	p3	Create a meeting before the start of business tomorrow.	createEvent(createAt(before(businessHours.lower) on tomorrow))
createDateTimePrivate	p3	Can you make an event today at 4 pm and make it private	createEvent(createAt(4.pm on today) and withSensitivity(Sensitivity.`private`))
Create ending at date time	p3	Schedule a meeting that ends at 3 pm tomorrow	createEvent(endsAt(3.pm on tomorrow))
Create with end and duration	p3	Create a 5 minute meeting that ends tomorrow at 1:30 pm	createEvent(lastsFor(5.minutes) and endsAt((1 :: 30).pm on tomorrow))
Create with end and attendee	p3	Make an event that ends at 4:30 pm with Bryan	"createEvent(endsAt((4 :: 30).pm) and with_(""Bryan""))"
Create meeting during mealtime	p3	Create a meeting during breakfast tomorrow.	createEvent(createAt(breakfastTimeInterval on tomorrow))
createOrganizerStatusOOF	p3	Can you create a coffee meeting and show my status as out of office	"createEvent(called(""coffee meeting"") and withStatus(FreeBusyStatus.oof))"
createOrganizerStatusFree	p3	Can you create an event and show me as free	createEvent(withStatus(FreeBusyStatus.free))
createSubjectAllDayDOW	p3	Create an event out of office all day Friday	"createEvent((called(""out of office"") and isAllDay) and createAt(Friday))"
createAllDayWithMonth	p3	Create an all day event sometime in May	createEvent(isAllDay and createAt(May))
createSubjectDateStatusOOF	p3	"Make an event called ""out of office all day"" for Tuesday and make it out of office"	"createEvent((called(""out of office all day"") and isAllDay) and createAt(Tuesday) and withStatus(FreeBusyStatus.oof))"
createSubjectDateRange	p3	Put holidays in my calendar from 15th June until 23rd June	"createEvent((called(""holidays"")) and blocking(dateInterval((15 /& June), (23 /& June))))"
createSubjectPrivateSalientEvent	p3	Create an event 'Pick up kids' and make it private	"createEvent(called(""Pick up kids"") and withSensitivity(Sensitivity.`private`))"
createSubjectSalientAttendees	p3	"Create ""I will be late"" event and invite the attendees from Monday morning stand-up"	"createEvent(called(""I will be late"") and with_(theEvent(queryAt(morning on Monday) and called(""stand-up"")).attendees))"
createWithTeam	p3	Schedule strength training for tomorrow with my team	"createEvent((called(""strength training"") and createAt(tomorrow)) and with_(me.team))"
createEventAfterAnotherWithDuration	p3	Right after my planning meeting today, schedule a 90 mins work out	"createEvent((rightAfter(theEvent(called(""planning meeting"") and queryAt(today))) and lastsFor(90.minutes)) and called(""work out""))"
createRecurringWeekly	p3	Make a weekly event tomorrow at noon.	createEvent(recurringWeekly and createAt(noon on tomorrow))
createRecurringDaily	p3	Make a daily event starting next Wednesday.	createEvent(recurringDaily and startsAt(next[Date] /& Wednesday))
createRecurringMonthly	p3	Make a monthly event starting tomorrow.	createEvent(recurringAbsoluteMonthly and startsAt(tomorrow))
createRecurringMonthly2	p3	Add a meeting on 2nd Wednesday of every month.	createEvent(recurringRelativeMonthly(WeekIndex.Second) and createAt(Wednesday))
createRecurringYearly	p3	Make a yearly event starting tomorrow.	createEvent(recurringAbsoluteYearly and startsAt(tomorrow))
createInFirstHalf	p3	Add a meeting with Julia in the first half of June.	"createEvent(with_(""Julia"") and createAt(firstHalf(the(monthOf(June)))))"
clobberCreateWithRecurrence	p3	Create a meeting with David.	"createEvent(with_(""David""))"
createInFirstHalf2	p3	Add a meeting with Julia on a Friday afternoon in the first half of June	"createEvent(with_(""Julia"") and createAt(afternoon on Friday /& firstHalf(the(monthOf(June)))))"
Delete non-existent event	p3	Delete the all hands	"deleteEvent(theEvent(called(""all hands"")))"
DeleteAppointmentByTitle	p3	Can you delete my project planning	"deleteEvent(theEvent(called(""project planning"")))"
DeleteAppointmentByTime	p3	Delete my 5 PM appointment	deleteEvent(theEvent(queryAt(5.pm)))
DeleteEventBySubject	p3	Cancel my catch up chat	"deleteEvent(theEvent(called(""catch up chat"")))"
Delete last of three	p3	Cancel yoga	"deleteEvent(theEvent(called(""yoga"")))"
delete05	p3	Cancel my meeting with Brad tomorrow	"deleteEvent(theEvent(with_(""Brad"") and queryAt(tomorrow)))"
delete06	p3	Cancel my Planning on August 12th	"deleteEvent(theEvent(called(""Planning"") and queryAt(August /& 12)))"
deleteSalientEvent	p3	What is my meeting tomorrow with Leah?	"theEvent(queryAt(tomorrow) and with_(""Leah""))"
deleteSalientEvent	p3	Delete this event	deleteEvent(theEvent(`this`[Event]))
deleteEventSubjectPerson	p3	Delete Q2 planning with David	"deleteEvent(theEvent(called(""Q2 planning"") and with_(""David"")))"
delete nth DOW	p3	Cancel my meeting on the third Monday in February	deleteEvent(theEvent(queryAt(nth[Date](3) /& Monday /& (monthOf(February)))))
Delete - change subject	p3	Delete coffee meeting	"deleteEvent(theEvent(called(""coffee meeting"")))"
updateEventResponse	p3	What's my next meeting?	theEvent(next[Event])
updateTentativeStatus	p3	When is the next product stand-up?	"theEvent(next[Event] and called(""product stand-up"")).start"
updateAllDay	p3	What is my next event that I organized?	theEvent(next[Event] and isMine)
onlineMeetingJoinUrl	p2	What is the URL to join Virtual Standup?	"theEvent(called(""Virtual Standup"")).onlineMeetingInfo.get.joinUrl"
onlineMeetingProvider	p2	What is the online meeting provider for Virtual Standup?	"theEvent(called(""Virtual Standup"")).onlineMeetingInfo.get.provider"
onlineMeetingConferenceId	p2	What is the online meeting conference id for Virtual Standup?	"theEvent(called(""Virtual Standup"")).onlineMeetingInfo.get.conferenceId"
onlineMeetingTollFreePhone	p2	What is the toll free number for Virtual Standup?	"theEvent(called(""Virtual Standup"")).onlineMeetingInfo.get.tollFreeNumbers"
onlineMeetingTollNumber	p2	What is the toll number for Virtual Standup?	"theEvent(called(""Virtual Standup"")).onlineMeetingInfo.get.tollNumbers"
	p2	What month is it?	now.date.month
	p2	What day is it?	now.date.dayOfWeek
whatTime	p2	What time is it?	now
whatDateToday	p2	What's today?	today
whatDateTomorrow	p2	What's tomorrow's date?	tomorrow
whatDateYesterday	p2	What was yesterday?	yesterday
christmas	p2	When is Christmas this year?	theDate(Holiday.Christmas /& yearIs(today.year))
whatDateRightNow	p2	What is the date right now?	now.local.date
	p2	Who has not responded to Standup?	"theEvent(called(""Standup"")).attendees.withResponse(ResponseStatusType.notResponded)"
	p2	Who accepted Standup?	"theEvent(called(""Standup"")).attendees.withResponse(ResponseStatusType.accepted)"
	p2	Is Megan attending the Standup?	"theEvent(called(""Standup"")).attendees.isAttending(thePerson(""Megan""))"
	p2	Is Kelly attending the Standup?	"theEvent(called(""Standup"")).attendees.isAttending(thePerson(""Kelly""))"
	p2	Can you show me who is tentative to the event on Tuesday at 8 am?	theEvent(startsAt(8.am on Tuesday)).attendees.withResponse(ResponseStatusType.tentativelyAccepted)
currentUserResponseStatus	p2	How did I reply to Planning?	"theEvent(called(""Planning"")).currentUserResponseStatus"
	p2	Who has accepted the Standup event tomorrow?	"theEvent(called(""Standup"") and queryAt(tomorrow)).attendees.withResponse(ResponseStatusType.accepted)"
firstEventTomorrow	p2	What is my first event tomorrow?	theEvent(nth[Event](1) and queryAt(tomorrow))
firstEventTomorrow	p2	Did Megan accept that?	"theEvent(that[Event]).attendees.isAttending(thePerson(""Megan""))"
nextEventAttendees	p2	Who has accepted my next event?	theEvent(next[Event]).attendees.withResponse(ResponseStatusType.accepted)
createStartDateTimePersonEyesOff	p2	Make me an event that starts 2 weeks from today at 8 am with John	"createEvent(startsAt(8.am on (today + 2.weeks)) and with_(""John""))"
createSalientTimeOfDayPersonEyesOff	p2	When is my next Yearly Planning meeting?	"theEvent(next[Event] and called(""Yearly Planning meeting"")).start"
createSalientTimeOfDayPersonEyesOff	p2	Make an event on that afternoon with Leah	"createEvent(createAt(afternoon on theDate(that[Date])) and with_(""Leah""))"
createSalientManagerEyesOff	p2	When am I meeting Kelly next?	"theEvent(next[Event] and with_(""Kelly"")).start"
createSalientManagerEyesOff	p2	Create an event with her manager	createEvent(with_(her.manager))
openFileWithTitleAndTypeOneShotSerpFallbackEyesOff	p2	Open SM annotation doc	"openFile(withTitle(""SM annotation"") and withType(""doc""))"
	p2	Forward my coffee event to Jesse	"forwardEvent(theEvent(called(""coffee"")), sendTo(""Jesse""))"
	p2	Forward my bagel event to conference room 10110	"forwardEvent(theEvent(called(""bagel"")), sendTo(theConferenceRoom(""10110"")))"
	p2	Forward my bagel event to Jesse and conference room 10110	"forwardEvent(theEvent(called(""bagel"")), sendTo(""Jesse"") and sendTo(theConferenceRoom(""10110"")))"
forwardSalientEvent	p2	When is my next meeting with Jesse?	"theEvent(next[Event] and with_(""Jesse"")).start"
forwardSalientEvent	p2	Forward this to Leah and Damon	"forwardEvent(theEvent(`this`[Event]), sendTo(""Leah"") and sendTo(""Damon""))"
forwardUnspecified	p2	Forward my bagel event	"forwardEvent(theEvent(called(""bagel"")), unspecified)"
findFile-6	p2	find my recent file	findFile(isRecent)
openWorkingFileOneShot	p2	Open the file I was working on	openFile(isRecent)
openWorkingFileHavingTypeOneShot	p2	Open the deck I was working on	"openFile(withType(""deck"") and isRecent)"
openFileTitleDisambigByIndex	p2	Open shiproom doc	"openFile(withTitle(""shiproom"") and withType(""doc""))"
eventResponse1	p2	Accept my invite to Planning.	"respond(theEvent(called(""Planning"")), withResponse(ResponseStatusType.accepted))"
eventResponse2	p2	Decline the invitation to the meeting today.	respond(theEvent(queryAt(today)), withResponse(ResponseStatusType.declined))
eventResponse3	p2	Tentatively accept the meeting with Megan.	"respond(theEvent(with_(""Megan"")), withResponse(ResponseStatusType.tentativelyAccepted))"
eventResponse4	p2	Accept the invite to Product Planning	"respond(theEvent(called(""Product Planning"")), withResponse(ResponseStatusType.accepted))"
eventResponse5	p2	Accept my invite to 'Team Meeting'.	"respond(theEvent(called(""Team Meeting"")), withResponse(ResponseStatusType.accepted))"
eventResponse6	p2	Accept my invite to 'Planning'.	"respond(theEvent(called(""Planning"")), withResponse(ResponseStatusType.accepted))"
eventResponse7	p2	Tentatively accept this meeting.	respond(theEvent(`this`[Event]), withResponse(ResponseStatusType.tentativelyAccepted))
eventResponse8	p2	Do I have any meetings tomorrow?	findEvents(queryAt(tomorrow)).nonEmpty
eventResponse8	p2	Decline it	respond(theEvent(that[Event]), withResponse(ResponseStatusType.declined))
nthEventTimeOfDay	p2	What is my first meeting tomorrow afternoon?	theEvent(nth[Event](1) and queryAt(afternoon on tomorrow))
nthEventTimeOfDay	p2	Accept this event	respond(theEvent(`this`[Event]), withResponse(ResponseStatusType.accepted))
eventResponse10	p2	Accept the planning and say I can't wait.	"respond(theEvent(called(""planning"")), withResponse(ResponseStatusType.accepted) and withComment(""I can't wait""))"
eventResponse11	p2	Decline it and say sorry I can't come	"respond(theEvent(that[Event]), withResponse(ResponseStatusType.declined) and withComment(""sorry I can't come""))"
setStatusAppearAwaySingle	p2	Set my status to appear away	setStatus(setStatusTo(UserStatus.AppearAway))
setStatusAppearOfflineSingle	p2	Set my status to appear offline	setStatus(setStatusTo(UserStatus.Offline))
setStatusAvailableSingle	p2	Set my status to available	setStatus(setStatusTo(UserStatus.Available))
setStatusBeRightBackSingle	p2	Set my status to be right back	setStatus(setStatusTo(UserStatus.BeRightBack))
setStatusBusySingle	p2	Set my status to busy	setStatus(setStatusTo(UserStatus.Busy))
setStatusDoNotDisturbSingle	p2	Set my status to do not disturb	setStatus(setStatusTo(UserStatus.DoNotDisturb))
setStatusOutOfOfficeSingle	p2	Set my status to out of office	setStatus(setStatusTo(UserStatus.OutOfOffice))
setStatusMulti	p2	Set my status	setStatus0
setStatusAppearAwayWithMessage	p2	Set my status to appear away and say I'm away	"setStatus(setStatusToWithMessage(UserStatus.AppearAway, ""I'm away""))"
setStatusAppearOfflineWithMessage	p2	Set my status to appear offline and say I'm offline	"setStatus(setStatusToWithMessage(UserStatus.Offline, ""I'm offline""))"
setStatusAvailableWithMessage	p2	Set my status to available and say I'm available	"setStatus(setStatusToWithMessage(UserStatus.Available, ""I'm available""))"
setStatusBeRightBackWithMessage	p2	Set my status to be right back and say I will be back	"setStatus(setStatusToWithMessage(UserStatus.BeRightBack, ""I will be back""))"
setStatusBusyWithMessage	p2	Set my status to busy and say I'm busy	"setStatus(setStatusToWithMessage(UserStatus.Busy, ""I'm busy""))"
setStatusDoNotDisturbWithMessage	p2	Set my status to do not disturb and say I'm busy	"setStatus(setStatusToWithMessage(UserStatus.DoNotDisturb, ""I'm busy""))"
setStatusOutOfOfficeWithMessage	p2	Set my status to out of office and say I'm outside	"setStatus(setStatusToWithMessage(UserStatus.OutOfOffice, ""I'm outside""))"
eventStartByNext1	p2	When's my next meeting?	theEvent(next[Event]).start
eventStartByNextAndPeople1	p2	When's my next meeting with Kelly?	"theEvent(next[Event] and with_(""Kelly"")).start"
eventStartByNextAndTitle	p2	When's the next Team meeting?	"theEvent(next[Event] and called(""Team meeting"")).start"
eventStartByTitle1	p2	When's Virtual Standup?	"theEvent(called(""Virtual Standup"")).start"
eventStartByTitleWeekend	p2	When's the soccer practice this weekend?	"theEvent(called(""soccer practice"") and queryAt(`this`[Interval[Date]] and isWeekend)).start"
eventStartByPeople1	p2	When's my meeting with Brad?	"theEvent(with_(""Brad"")).start"
eventStartByPeople2	p2	When's my meeting with Kelly?	"theEvent(with_(""Kelly"")).start"
eventStartByPeople3	p2	When is the event with Jesse tomorrow?	"theEvent(with_(""Jesse"") and queryAt(tomorrow)).start"
eventStartBy2People	p2	When's my meeting with Damon and Kelly?	"theEvent(with_(""Damon"") and with_(""Kelly"")).start"
eventStartByTimeRangeDay	p2	When's my meeting tomorrow morning?	theEvent(queryAt(morning on tomorrow)).start
eventStartLastAndPast	p2	When was my last event?	theEvent(last[Event] and isPast).start
eventStartLastAndPastNoMatch	p2	When did I last go to the dentist?	"theEvent(last[Event] and isPast and called(""dentist"")).start"
eventStart4th	p2	What time is my fourth meeting tomorrow?	theEvent(nth[Event](4) and queryAt(tomorrow)).start
salientEventStart	p2	What's my first event tomorrow?	theEvent(nth[Event](1) and queryAt(tomorrow))
salientEventStart	p2	When does this start?	theEvent(`this`[Event]).start
eventEndByNext	p2	When does my next meeting end?	theEvent(next[Event]).end
eventDurationByTitle	p2	How long is the planning this week?	"theEvent(called(""Planning"") and queryAt(`this`[Interval[Date]] and isWeek)).duration"
eventIsAllDayByTitleNo	p2	Do we have planning all day this time?	"theEvent(called(""planning"")).isAllDay"
eventIsAllDayByTitleYes	p2	Do we have vacation all day this time?	"theEvent(called(""vacation"")).isAllDay"
EventLocationByNext	p2	Where's my next meeting?	theEvent(next[Event]).location
EventLocationByTitle	p2	Where's Planning?	"theEvent(called(""Planning"")).location"
EventLocationByTitleOnline	p2	Where's Standup?	"theEvent(called(""Standup"")).location"
EventLocationByPeople	p2	Where's my meeting with Brad?	"theEvent(with_(""Brad"")).location"
EventLocationByPeopleMultipleAttendees	p2	Where's my meeting with Kelly?	"theEvent(with_(""Kelly"")).location"
eventLocationByPeopleOneOnOne	p2	Where's my 1:1 with Abby?	"theEvent(isOneOnOne and with_(""Abby"")).location"
eventLocationByTime	p2	Where's my 5 o'clock?	theEvent(queryAt(5.oclock)).location
eventAttendeesByNext	p2	Who's my next meeting with?	theEvent(next[Event]).attendees.all
eventAttendeesByTitle	p2	Who all are on the Vacation meet?	"theEvent(called(""Vacation"")).attendees.all"
eventAttendeesByTitle2	p2	Who all are on the Team meeting?	"theEvent(called(""Team meeting"")).attendees.all"
eventAttendeesByTime	p2	Who's on my 5 PM?	theEvent(queryAt((5).pm)).attendees.all
isPersonOrganizerFalse	p2	Is Kim the organizer of Standup?	"theEvent(called(""Standup"")).organizerIs(thePerson(""Kim""))"
IsOnlineMeeting	p2	Does Planning have an online link?	"theEvent(called(""Planning"")).isOnlineMeeting"
IsTeamsMeeting	p2	Is my next meeting a Teams meeting?	theEvent(next[Event]).isTeamsMeeting
NoOfInviteesNoAttendee	p2	How many folks are on SM Leads meeting tomorrow?	"theEvent(called(""SM Leads meeting"") and queryAt(tomorrow)).attendees.otherPeople.size"
FenceEventDescriptionQA	p2	Can you give me the description of the Standup event?	"theEvent(called(""Standup"")).description"
attendeesIsInvitedTrue	p2	Is Brad invited to Team meeting?	"theEvent(called(""Team meeting"")).attendees.isInvited(thePerson(""Brad""))"
attendeesIsInvitedFalse	p2	Is Kim invited to Team meeting?	"theEvent(called(""Team meeting"")).attendees.isInvited(thePerson(""Kim""))"
doNotConfirmCreate	p0	Create a meeting.	createEvent0
01 - create event and then clobber subject - unspecified	p0	Schedule a meeting called coffee	"createEvent(called(""coffee""))"
02 - create event and then clobber start - unspecified	p0	Schedule a meeting	createEvent0
create event and then clobber title with Use updater	p0	Find a time with Jenn	"createEvent(with_(""Jenn""))"
Create - change the start time	p0	Schedule a meeting for today at 2pm	createEvent(createAt(2.pm on today))
Create for tomorrow explicitly - Change the start time	p0	Schedule a meeting for tomorrow at 2pm	createEvent(createAt(2.pm on tomorrow))
Create - set the date	p0	Create a meeting	createEvent0
Create - change the date - DOW	p0	Create a meeting tomorrow	createEvent(createAt(tomorrow))
Create - set the duration	p0	make a meeting	createEvent0
Create - change the duration	p0	make a meeting for 1 hour	createEvent(lastsFor(1.hours))
Create - change one attendee	p0	Create a meeting with David	"createEvent(with_(""David""))"
Create - change two attendees	p0	Create a meeting with David and Jesse called coffee	"createEvent((with_(""David"") and with_(""Jesse"")) and called(""coffee""))"
Create - change one and add one attendee	p0	Create a meeting with Jesse called coffee	"createEvent((with_(""Jesse"")) and called(""coffee""))"
Create - change two attendees - 2	p0	Create a meeting called coffee with David and Jesse	"createEvent((called(""coffee"") and with_(""David"")) and with_(""Jesse""))"
Create - set multiple - subject and duration	p0	create a meeting	createEvent0
Create - change multiple - attendee and DOW	p0	create a meeting with David today	"createEvent(with_(""David"") and createAt(today))"
Create - change date	p0	Create a meeting on May 22nd	createEvent(createAt(May /& 22))
Create - change location	p0	Create a meeting at 5pm today	createEvent(createAt(5.pm on today))
Create - change time	p0	Schedule a meeting with Jesse at 2pm	"createEvent(with_(""Jesse"") and createAt(2.pm))"
Create - change to before another event	p0	Schedule a run after my coffee meeting	"createEvent(called(""run"") and after(theEvent(called(""coffee meeting""))))"
Create - change start by duration later	p0	Schedule jogging this evening	"createEvent(called(""jogging"") and createAt(evening on `this`[Date]))"
cloberCreateWithStatus	p0	create a meeting with David	"createEvent(with_(""David""))"
Create - allday month	p0	Create an all day event sometime in August	createEvent(isAllDay and createAt(August))
Create - change start timeRelative later	p0	Hey Cortana, set up time with David.	"createEvent(with_(""David""))"
Create - change DOW, time, and duration	p0	Create a sales meeting tomorrow in San Francisco at 2 pm for 30 mins	"createEvent((called(""sales meeting"") and createAt(2.pm on tomorrow) and locatedAt(locationNamed(""San Francisco"")) and lastsFor(30.minutes)))"
Create - change timeOfDay	p0	Schedule a meeting with Kelly on Tuesday	"createEvent(with_(""Kelly"") and createAt(Tuesday))"
Create - change attendee to optional	p0	Make a meeting with David.	"createEvent(with_(""David""))"
createClobberInDuration	p0	Create an event.	createEvent0
Create - clobber extend duration	p0	Schedule a meeting.	createEvent0
createWithClobberTime	p0	Create a meeting with Jenn for next week	"createEvent(with_(""Jenn"") and createAt(next[Interval[Date]] and isWeek))"
createWithNoDateClobberTime	p0	Create a meeting with Jenn	"createEvent(with_(""Jenn""))"
setRecurrenceToBeWeekly	p0	Create a meeting called QBR Sync	"createEvent(called(""QBR Sync""))"
createRecurringWeeklyAtTime	p0	Make a weekly event at noon.	createEvent(recurringWeekly and createAt(noon))
Create - clobber attendee and title	p0	Create a meeting called coffee with David	"createEvent((called(""coffee"") and with_(""David"")))"
clobber later relative	p0	Block off 2 hours this evening	createEvent(lastsFor(2.hours) and createAt(evening on `this`[Date]))
basicSendMail	p0	Send an email.	createEmail0
sendMailWithSubject	p0	Send an email about happy hour update.	"createEmail(messageTitleIs(""happy hour update""))"
sendMailWithBody	p0	Send an email saying i will be late.	"createEmail(messageBodyIs(""i will be late""))"
sendMailWithRecipient	p0	Send an email to David.	"createEmail(messageWithTo(""David""))"
sendMailWithRecipientAndBody	p0	Send an email saying I will be late and send to David.	"createEmail(messageBodyIs(""I will be late"") and messageWithTo(""David""))"
sendMailWithMultipleRecipients	p0	Send an email to Jen and David.	"createEmail(messageWithTo(""Jen"") and messageWithTo(""David""))"
sendMailWithMultipleConstraints	p0	Send an email to Jen and David about happy hour update saying I will be late.	"createEmail(messageWithTo(""Jen"") and messageWithTo(""David"") and messageTitleIs(""happy hour update"") and messageBodyIs(""I will be late""))"
sendMailWithRecipientsBody	p0	Send an email to Jen and David saying I will be late.	"createEmail(messageWithTo(""Jen"") and messageWithTo(""David"") and messageBodyIs(""I will be late""))"
sendEmailWithSingleRecipientSubjectAndBody	p0	Email David about workshop saying it begins at 8.	"createEmail(messageWithTo(""David"") and messageTitleIs(""workshop"") and messageBodyIs(""it begins at 8""))"
sendMailWithSubjectAndBody	p0	Send an email about happy hour update saying I will be late.	"createEmail(messageTitleIs(""happy hour update"") and messageBodyIs(""I will be late""))"
