id	category	utterance	plan
QueryWeekEventBinary - change attendee	p1	Am I meeting with David this week?	"findEvents(with_(""David"") and queryAt(`this`[Interval[Date]] and isWeek)).nonEmpty"
NoEventInTimeOfDayWithoutDate	p0	What do I have in the evening?	findEvents(queryAt(evening))
Query - change the interval	p1	what are my meetings this morning?	findEvents(queryAt(morning on `this`[Date]))
eventStartLastMultiple		When's my last meeting on Monday?	theEvent(last[Event] and queryAt(Monday)).start
setStatusAppearAwaySingle	p2	Set my status to appear away	setStatus(setStatusTo(UserStatus.AppearAway))
d47annotator1_0	decomp	Find meetings on Friday	findEvents(queryAt(Friday))
createTitleDay	p0	Add lunch for tomorrow	"createEvent(called(""lunch"") and createAt(tomorrow))"
noEventThisWeek	p0	What events do I have this week?	findEvents(queryAt(`this`[Interval[Date]] and isWeek))
whatDateRightNow	p2	What is the date right now?	now.local.date
CreateInConferenceRoom	p1	Add a meeting in conference room 354.	"createEvent(withResource(theConferenceRoom(""354"")))"
sendMailWithRecipient	p0	Send an email to David.	"createEmail(messageWithTo(""David""))"
createSalientTimeOfDayPersonEyesOff	p2	When is my next Yearly Planning meeting?	"theEvent(next[Event] and called(""Yearly Planning meeting"")).start"
whatTime	p2	What time is it?	now
AfterAndRightAfterNoEvent	p0	What do I have after walk	"findEvents(after(theEvent(called(""walk""))))"
attendeesIsInvitedFalse	p2	Is Kim invited to Team meeting?	"theEvent(called(""Team meeting"")).attendees.isInvited(thePerson(""Kim""))"
createConfirmCriticalEyesOff	p0	Schedule jogging	"createEvent(called(""jogging""))"
createEventBeforeTime	p1	Schedule a meeting before 2 pm.	createEvent(createAt(before(2.pm)))
eventThisTimeOfDay	p0	What's going on this afternoon?	findEvents(queryAt(afternoon on `this`[Date]))
eventEndByNext	p2	When does my next meeting end?	theEvent(next[Event]).end
NoOfInviteesNoAttendee	p2	How many folks are on SM Leads meeting tomorrow?	"theEvent(called(""SM Leads meeting"") and queryAt(tomorrow)).attendees.otherPeople.size"
query events in x weeks	p0	What do I have in two weeks?	findEvents(queryAt(theDate((today + 2.weeks)).weekInterval))
multipleOneOnOneWithAttendee		when does my one on one with Brad start?	"theEvent(isOneOnOne and with_(""Brad"")).start"
deleteSalientEvent	p3	What is my meeting tomorrow with Leah?	"theEvent(queryAt(tomorrow) and with_(""Leah""))"
eventByDayAndTimeOfDay	p0	What do I have on the morning of July 1st?	findEvents(queryAt(morning on (July /& 1)))
Query on that week eyes off	p0	What do I have tonight?	findEvents(queryAt(tonight))
createApptWithDurationWithSubject	p0	Block 20 minutes to review presentation notes	"createEvent(lastsFor(20.minutes) and called(""review presentation notes""))"
deleteSalientEvent	p3	Delete this event	deleteEvent(theEvent(`this`[Event]))
sendMailWithBodyEyesOff2	p0	Start an email saying I need to grab the documents from David.	"createEmail(messageBodyIs(""I need to grab the documents from David""))"
replyMailToPersonChangeSubject	p1	Reply to Julia and change the subject to Party planning.	"replyEmail(messageIdIs(theEmail(`this`[Email]).id) and messageWithTo(""Julia"") and messageTitleIs(""Party planning""))"
checkAvailability5	p3	What time am I free today?	availabilityIncludingMe(createAt(today))
setStatusBusySingle	p2	Set my status to busy	setStatus(setStatusTo(UserStatus.Busy))
EventLocationByPeopleMultipleAttendees	p2	Where's my meeting with Kelly?	"theEvent(with_(""Kelly"")).location"
Create - set the duration	p0	make a meeting	createEvent0
clobber later relative	p0	Block off 2 hours this evening	createEvent(lastsFor(2.hours) and createAt(evening on `this`[Date]))
createWithDateWithAttendee1EyesOff	p0	Make a meeting Tuesday morning with Abby	"createEvent(createAt(morning on Tuesday) and with_(""Abby""))"
joinNextMeeting10MinsOut	p1	Join the next event	joinEvent(theEvent(next[Event]))
sayPersonNoCompanyName	p0	Where does David work?	"thePerson(""David"").companyName"
IsOnlineMeeting	p2	Does Planning have an online link?	"theEvent(called(""Planning"")).isOnlineMeeting"
singleEventThisWeekend	p0	What events do I have this weekend?	findEvents(queryAt(`this`[Interval[Date]] and isWeekend))
replyMailWithTwoRecipientsEyesOff	p1	Reply to this email and add Jen and Jesse	"replyEmail(messageIdIs(theEmail(`this`[Email]).id) and messageWithTo(""Jen"") and messageWithTo(""Jesse""))"
callingPeopleMobileOneshot	p1	Call Crystal and Jordan on their mobile	"call(callWithType(""Crystal"", ContactType.Mobile) and callWithType(""Jordan"", ContactType.Mobile))"
	p0	Make me a meeting called 'call with Jesse and David'. It needs to be a Teams call	"createEvent(isTeams and called(""call with Jesse and David""))"
eventRightNowBoolean	p0	Do I have anything right now?	findEvents(queryAt(now)).nonEmpty
DeleteAppointmentByTitle	p3	Can you delete my project planning	"deleteEvent(theEvent(called(""project planning"")))"
queryBySubjectEyesOff	p0	What do I have with subject Team Meeting?	"findEvents(called(""Team Meeting""))"
d47annotator1_1	decomp	Delete each meeting after the sixth meeting in the list s1	s1.drop(6).map(x => deleteEvent(x))
callingPersonTeamsOneshot	p1	Call Bryan	"call(callWith(""Bryan""))"
eventBeforeStartOfBusinessHoursOnDate	p0	What do I have before the start of business tomorrow?	findEvents(queryAt(before(businessHours.lower) on tomorrow))
d31annotator2_4	decomp	Get the start time from event s4	s4.start.local.time
multiNthEventsStart		What time does my second event on Monday begin?	theEvent(nth[Event](2) and queryAt(Monday)).start
basicReplyAllMail	p1	Reply to everybody on this mail.	replyAllEmail(messageIdIs(theEmail(`this`[Email]).id))
eventCountByDate	p0	How many events do I have today?	findEvents(queryAt(today)).size
eventResponse6	p2	Accept my invite to 'Planning'.	"respond(theEvent(called(""Planning"")), withResponse(ResponseStatusType.accepted))"
findFile-1	p0	Search for SM annotation doc	"findFile(withTitle(""SM annotation"") and withType(""doc""))"
chatOnTMSalientHistoryEventOneShotEyesOff	p1	When am I meeting Kelly next	"theEvent(next[Event] and with_(""Kelly"")).start"
Create - allday month	p0	Create an all day event sometime in August	createEvent(isAllDay and createAt(August))
	p0	"Add a meeting called ""sync"" with Jordan and Izabela tomorrow at 11 am"	"createEvent((called(""sync"") and with_(""Jordan"")) and with_(""Izabela"") and createAt(11.am on tomorrow))"
Create starting at time in eyes off	p1	Schedule a meeting starting at 9 am	createEvent(startsAt(9.am))
QueryOnDateWithMonthWeek	p0	What do I have in the week of 9th August?	findEvents(queryAt(theDate(August /& 9).weekInterval))
	p0	I need a quick sync in 10 minutes	"createEvent(called(""quick sync"") and createAt(now + 10.minutes))"
createWithDateTimeWith3Attendees0EyesOff	p0	Make an event for next Monday at 11 am with Abby, Jesse, and Kim	"createEvent((createAt(11.am on (next[Date] /& Monday)) and with_(""Abby"") and with_(""Jesse"")) and with_(""Kim""))"
Delete non-existent event	p3	Delete the all hands	"deleteEvent(theEvent(called(""all hands"")))"
toRecipientsExample		How many people was the shiproom message sent to?	"findChatMessage(messageTitleIs(""shiproom"")).toRecipients.size"
eventBeforeDayOfWeek	p0	What do I have before Monday?	findEvents(queryAt(before(theDate(Monday))))
basicReplyMailWithMessageEyesOff	p1	Reply to this email and say I am not so sure about this	"replyEmail(messageIdIs(theEmail(`this`[Email]).id) and messageBodyIs(""I am not so sure about this""))"
multipleNextEventsAttendees		When is my next event with Kelly?	"theEvent(next[Event] and with_(""Kelly"")).start"
queryEventBeforeDate	p0	What's on my schedule before October 5th.	findEvents(queryAt(before(October /& 5)))
OneEventOnHolidayWeek	p0	What do I have in the week of Halloween?	findEvents(queryAt(theDate(Holiday.Halloween).weekInterval))
christmas	p2	When is Christmas this year?	theDate(Holiday.Christmas /& yearIs(today.year))
firstEventTomorrow	p2	Did Megan accept that?	"theEvent(that[Event]).attendees.isAttending(thePerson(""Megan""))"
setStatusDoNotDisturbWithMessage	p2	Set my status to do not disturb and say I'm busy	"setStatus(setStatusToWithMessage(UserStatus.DoNotDisturb, ""I'm busy""))"
queryBySubject0	p0	Show me meetings called Standup.	"findEvents(called(""Standup""))"
forwardMailToEventAttendeesAddRecipient-2	p1	Forward this email to the attendees from tomorrow's Standup and to Bryan	"forwardEmail(messageIdIs(theEmail(`this`[Email]).id) and messageWithTo(theEvent(queryAt(tomorrow) and called(""Standup"")).attendees.all) and messageWithTo(""Bryan""))"
createWithAttendee5	p1	I need to make an event with the people from this meeting	createEvent(with_(theEvent(`this`[Event]).attendees))
queryEventBeforeThisDOW	p0	What do I have before this Saturday?	findEvents(queryAt(before(theDate(`this`[Date] /& Saturday))))
multipleEventsLocation0		Where is my event called Team meeting supposed to take place?	"theEvent(called(""Team meeting"")).location"
queryEventBeforeNthDOW	p0	What do I have before the first Monday of next October?	findEvents(queryAt(before(theDate(nth[Date](1) /& Monday /& (next[Interval[Date]] and monthOf(October))))))
Query at date	p0	What is my schedule like tomorrow?	findEvents(queryAt(tomorrow))
oneTeamsEventWithAttendeeEyesOff	p0	Search for meetings with Kelly.	"findEvents(with_(""Kelly""))"
eventResponse3	p2	Tentatively accept the meeting with Megan.	"respond(theEvent(with_(""Megan"")), withResponse(ResponseStatusType.tentativelyAccepted))"
queryBySubject0	p0	Find events titled quarterly review.	"findEvents(called(""quarterly review""))"
multipleEventsWithOrganizerEyesOff	p0	Can you find the event Damon created?	"theEvent(organizedBy(""Damon""))"
checkAvailability9	p3	When is my Planning event?	"theEvent(called(""Planning"")).start"
Create with time in eyes off	p0	Schedule a meeting at 9 am	createEvent(createAt(9.am))
eventFromEmail2	p0	Create a meeting with them at 10 am tomorrow.	createEvent(with_(them) and createAt(10.am on tomorrow))
forwardMailToRecipientWithNewTitle	p1	Forward this email to Bryan and call it Sharing for visibility	"forwardEmail(messageIdIs(theEmail(`this`[Email]).id) and messageWithTo(""Bryan"") and messageTitleIs(""Sharing for visibility""))"
intervalIntersection		Does the project meeting overlap with lunch?	"theEvent(called(""project"")).interval.intersects(theEvent(called(""lunch"")).interval)"
createWithAttendee1EyesOff	p0	Create a meeting with David and Jen	"createEvent(with_(""David"") and with_(""Jen""))"
eventStartByPeople2	p2	When's my meeting with Kelly?	"theEvent(with_(""Kelly"")).start"
createOrganizerStatusOOF	p3	Can you create a coffee meeting and show my status as out of office	"createEvent(called(""coffee meeting"") and withStatus(FreeBusyStatus.oof))"
sayPersonJobTitle	p0	What is Kim's job title?	"thePerson(""Kim"").jobTitle"
multipleEventsSubject		What is my meeting called?	theEvent0.subject.get
findGeneral-2	p0	What is outlook mobile	"findGeneral(withQueryString(""outlook mobile""))"
eventStartByPeople3	p2	When is the event with Jesse tomorrow?	"theEvent(with_(""Jesse"") and queryAt(tomorrow)).start"
	p2	Who has accepted the Standup event tomorrow?	"theEvent(called(""Standup"") and queryAt(tomorrow)).attendees.withResponse(ResponseStatusType.accepted)"
eventByDayAndTimeOfDay	p0	What do I have Saturday morning?	findEvents(queryAt(morning on Saturday))
nthEventTimeOfDay	p2	Accept this event	respond(theEvent(`this`[Event]), withResponse(ResponseStatusType.accepted))
Query at time	p0	What do I have starting at 6 pm?	findEvents(startsAt(6.pm))
queryBySubject0	p0	Search for appointments by the name of Lunch.	"findEvents(called(""Lunch""))"
unspecifiedErrorTest		Create an event with a location	createEvent(locatedAt(locationNamed(unspecified[String])))
	p0	Schedule an event that starts at 2 pm tomorrow with David for 15 minutes	"createEvent((startsAt(2.pm on tomorrow) and with_(""David"")) and lastsFor(15.minutes))"
cloberCreateWithStatus	p0	create a meeting with David	"createEvent(with_(""David""))"
basicForwardMail	p1	Forward this email.	forwardEmail(messageIdIs(theEmail(`this`[Email]).id))
queryBySubject1	p0	What do I have with subject All Hands?	"findEvents(called(""All Hands""))"
callHerSalientHistoryOneshot	p1	Who is Kelly?	"thePerson(""Kelly"")"
basicReplyAllWithMessage	p1	Reply to everybody on this email and say I am not so sure about this, can we chat soon?	"replyAllEmail(messageIdIs(theEmail(`this`[Email]).id) and messageBodyIs(""I am not so sure about this, can we chat soon?""))"
nextWithOneUpcomigEventOnly	p0	What do I have next?	theEvent(next[Event])
videoCallPeopleOneshot	p1	Video call with Bryan and Kelly	"call(modeIs(CallMode.Video) and callWith(""Bryan"") and callWith(""Kelly""))"
findEmails-7	p1	Can you find the emails from Lisa from last week	"findEmails(messageWithSender(""Lisa"") and messageSentAt(last[Interval[Date]] and isWeek))"
fromDateTimeToDateTimeExample		What do I have between 5pm today and 9am tomorrow?	findEvents(queryAt(fromDateTimeToDateTime(today, 5.pm, tomorrow, 9.am)))
Create starting at date time eyes off	p1	Schedule a meeting that starts at 3 pm tomorrow	createEvent(startsAt(3.pm on tomorrow))
createApptWithTimeAndSubject	p0	Block an hour for Kayla's homework at 4	"createEvent(lastsFor(1.hours) and called(""Kayla's homework"") and createAt(4.oclock))"
composeEmailForEventWithSubjectAttendees	p0	Send an email to the attendees of event titled standup saying I will be late	"createEmail(messageWithTo(theEvent(called(""standup"")).attendees.all) and messageBodyIs(""I will be late""))"
multipleEventsLocation2		Where is my meeting with Brad located?	"theEvent(with_(""Brad"")).location"
setStatusAppearOfflineWithMessage	p2	Set my status to appear offline and say I'm offline	"setStatus(setStatusToWithMessage(UserStatus.Offline, ""I'm offline""))"
createEventAfterDate	p0	Schedule a meeting after tomorrow.	createEvent(createAt(after(tomorrow)))
forwardMailWithRecipient	p1	Forward this email to Jen	"forwardEmail(messageIdIs(theEmail(`this`[Email]).id) and messageWithTo(""Jen""))"
createEventBeforeTimeInterval	p1	Schedule a meeting before afternoon.	createEvent(createAt(before(afternoon)))
multiEventsOrganizerBySubject		Who is the organizer of Standup	"theEvent(called(""Standup"")).attendees.organizer"
queryBySubject0EyesOff	p0	What's on my calendar by the name of Sales Call?	"findEvents(called(""Sales Call""))"
	p0	Create an event on August 11th at 9 pm called late dinner	"createEvent(createAt(9.pm on (August /& 11)) and called(""late dinner""))"
Query at date	p0	What do I have today?	findEvents(queryAt(today))
d21annotator2_0	decomp	Get Kevin's reports	thePerson("Kevin").directReports
durationBetweenInstantsExample		How much time is between my first two meetings today?	durationBetweenInstants(theEvent(nth[Event](1) and queryAt(`this`[Date])).end, theEvent(nth[Event](2) and queryAt(`this`[Date])).start)
sayPersonOfficeLocationEyesOff	p0	Where is Damon's office	"thePerson(""Damon"").officeLocation"
callThemSalientHistoryOneshot	p1	Call them	call(callWith(them))
Query at time interval eyesOff	p0	What do I have between 11 am and 3:30 pm tomorrow?	findEvents(queryAt(timeInterval(11.am, (3::30).pm) on tomorrow))
queryBySubjectEyesOff	p0	Bring up events called Doctor Appointments	"findEvents(called(""Doctor Appointments""))"
d16annotator2_0	decomp	Find events at 3 pm mountain time	findEvents(queryAt(3.pm inZone TimeZone("MST")))
mutipleRecurrentEventsStart		When is stand up?	"theEvent(called(""stand up"")).start"
jobTitleIsExampleNamedExample		Who is the engineer named Peter?	"thePerson(jobTitleIs(""engineer"") and named(""Peter""))"
createAllDayWithDate	p3	Create all day meeting on Friday	createEvent(isAllDay and createAt(Friday))
	p2	What day is it?	now.date.dayOfWeek
eventStartByTitle1	p2	When's Virtual Standup?	"theEvent(called(""Virtual Standup"")).start"
3 Query by date today and yesterday	p0	Find appointments from yesterday.	findEvents(queryAt(yesterday))
Create - change two attendees - 2	p0	Create a meeting called coffee with David and Jesse	"createEvent((called(""coffee"") and with_(""David"")) and with_(""Jesse""))"
delete nth DOW	p3	Cancel my meeting on the third Monday in February	deleteEvent(theEvent(queryAt(nth[Date](3) /& Monday /& (monthOf(February)))))
AfterAndRightAfterMultipleEvents	p0	What do I have after coffee	"findEvents(after(theEvent(called(""coffee""))))"
createNoAMPMEyesOff	p0	Can you make me a meeting on Thursday at 3	createEvent(createAt(3.oclock on Thursday))
d2annotator1_1	decomp	Filter the list of persons s1 to keep only those that don't have a one-on-one meeting with the user this week	s1.filter(x => findEvents(with_(x) and isOneOnOne and queryAt(`this`[Interval[Date]] and isWeek)).isEmpty)
QueryNext - change attendee	p1	What's my next meeting with David?	"theEvent(next[Event] and with_(""David""))"
createClobberInDuration	p0	Create an event.	createEvent0
updateDateEyesOff	p1	Do I have any meetings with Brad today?	"findEvents(with_(""Brad"") and queryAt(today)).nonEmpty"
noEventWithAttendee4	p0	What do I have on my schedule with Dan?	"findEvents(with_(""Dan""))"
	p0	Make me a meeting tomorrow with Abby and Kelly and make it 15 mins	"createEvent((createAt(tomorrow) and with_(""Abby"")) and with_(""Kelly"") and lastsFor(15.minutes))"
basicUnflagMail-2	p1	Unflag that email.	unflagEmail(messageIdIs(theEmail(that[Email]).id))
sendMailWithRecipientsBody	p0	Send an email to Jen and David saying I will be late.	"createEmail(messageWithTo(""Jen"") and messageWithTo(""David"") and messageBodyIs(""I will be late""))"
Create - change the date - DOW	p0	Create a meeting tomorrow	createEvent(createAt(tomorrow))
multipleEventsAttendeeStart		When is that event with Brad tomorrow?	"theEvent(with_(""Brad"") and queryAt(tomorrow)).start"
eventAttendeesByTime	p2	Who's on my 5 PM?	theEvent(queryAt((5).pm)).attendees.all
Query with datetime variations	p0	What meetings do I have at 10 am on September 5th?	findEvents(queryAt(10.am on (September /& 5)))
createWithUnknownAttendee1	p0	Create a meeting with David and Jane	"createEvent(with_(""David"") and with_(""Jane""))"
d249annotator1_1	decomp	Change the event s1 to include Ben and remove Hao	modifyEvent(s1, with_("Ben") and not(with_("Hao")))
createWithMonthTOD	p0	Create an event next month in the morning.	createEvent(createAt(morning on (next[Interval[Date]] and isMonth)))
oneEventWithMultipleAttendees	p0	What's on my calendar that includes Kelly, Megan, and Jesse?	"findEvents((with_(""Kelly"") and with_(""Megan"")) and with_(""Jesse""))"
eventStartByTimeRangeDay	p2	When's my meeting tomorrow morning?	theEvent(queryAt(morning on tomorrow)).start
callingPeopleGroupCallFeatureDisabled	p1	Call Bryan and Jen	"call(callWith(""Bryan"") and callWith(""Jen""))"
salientMultipleEvents	p0	What's after that?	findEvents(after(theEvent(that[Event])))
noEventMultipleAttendees2	p0	What appointments do I have with Brad and Kim?	"findEvents(with_(""Brad"") and with_(""Kim""))"
3 Create with start date time and duration Eyes-off	p0	Make a 4 hour event starting next Monday at 11 am	createEvent(lastsFor(4.hours) and startsAt(11.am on (next[Date] /& Monday)))
salientPeopleEyesOff	p1	Who is coming to Standup meeting?	"theEvent(called(""Standup meeting"")).attendees.withResponse(ResponseStatusType.accepted)"
findChatMessages-2	p1	Find chat messages from Lisa	"findChatMessages(messageWithSender(""Lisa""))"
joinMeetingBySubjectDisambigByIndex	p1	Join the team stand up	"joinEvent(theEvent(called(""team stand up"")))"
createSalientPersonEyesOff	p1	What is my next 1:1 with Leah?	"theEvent((next[Event] and isOneOnOne) and with_(""Leah""))"
queryEventAfterDate	p0	What's on my schedule after July 10th.	findEvents(queryAt(after(July /& 10)))
queryBySubjectEyesOff	p0	What do I have named Vacation?	"findEvents(called(""Vacation""))"
sayMyManager	p0	Who is my manager?	me.manager
QueryNextEventStart - change subject	p1	When's the next Coffee chat meeting?	"theEvent(next[Event] and called(""Coffee chat"")).start"
Create on a date in eyes off	p0	Create a meeting on Monday	createEvent(createAt(Monday))
eventCountWithAttendee	p0	How many events do I have with David next week?	"findEvents(with_(""David"") and queryAt(next[Interval[Date]] and isWeek)).size"
multipleEventsMultipleAttendeesEyesOff	p0	Show me appointments with John, Jesse, and Jennifer.	"findEvents((with_(""John"") and with_(""Jesse"")) and with_(""Jennifer""))"
eventAttendeesByTitle2	p2	Who all are on the Team meeting?	"theEvent(called(""Team meeting"")).attendees.all"
checkAvailability1	p3	Is Jesse free today?	"availabilityExcludingMe(with_(""Jesse"") and createAt(today)).nonEmpty"
querySimpleCritical	p0	What is my schedule like?	findEvents0
Query at time interval	p0	What do I have between 2 pm and 4 pm?	findEvents(queryAt(timeInterval(2.pm, 4.pm)))
queryBySubjectEyesOff	p0	What is on my calendar called Coffee Chat?	"findEvents(called(""Coffee Chat""))"
videoCallMyTeamOneshot	p1	Video call to my team	call(modeIs(CallMode.Video) and callWith(me.communicationTeam))
updateAllDay	p3	What is my next event that I organized?	theEvent(next[Event] and isMine)
multipleEventsStart3		When does my meeting start today?	theEvent(queryAt(today)).start
callHimSalientHistoryOneshot	p1	Who is Brad?	"thePerson(""Brad"")"
CreateEventBeforeTheStartOfBusinessHours	p3	Create a meeting before the start of business tomorrow.	createEvent(createAt(before(businessHours.lower) on tomorrow))
playMyEmails	p0	Play my emails.	playEmails0
fenceCheckAvailability4	p3	Check my availability for next week	availabilityIncludingMe(createAt(next[Interval[Date]] and isWeek))
eventWithTwoAttendeesToday	p0	Find meetings that include John and Jennifer today.	"findEvents((with_(""John"") and with_(""Jennifer"")) and queryAt(today))"
basicArchiveMail	p1	Archive this email.	archiveEmail(messageIdIs(theEmail(`this`[Email]).id))
eventWithTwoAttendeesEyesOff	p0	Search for events with Abby and Damon.	"findEvents(with_(""Abby"") and with_(""Damon""))"
query week of numeric date	p0	What do I have in the week of 8/9?	findEvents(queryAt(theDate(month(8) /& 9).weekInterval))
multipleEventsStart0		When is my event called Team meeting?	"theEvent(called(""Team meeting"")).start"
queryBySubject2	p0	Look for Dentist appointment in my calendar	"findEvents(called(""Dentist appointment""))"
clientContextNonUISalientEvent	p1	What's my second event tomorrow?	theEvent(nth[Event](2) and queryAt(tomorrow))
queryBySubjectEyesOff	p0	Find events titled Team Social.	"findEvents(called(""Team Social""))"
multipleEventsEnd3		When does my meeting today end?	theEvent(queryAt(today)).end
findPersonNoTitle	p0	Who is Jennifer?	"thePerson(""Jennifer"")"
createEventBeforeTimeIntervalOnDate	p1	Schedule a meeting before 11 am to 2 pm on tomorrow.	createEvent(createAt(before(timeInterval(11.am, 2.pm)) on tomorrow))
queryBySubject2	p0	Show me my events called Quick Sync	"findEvents(called(""Quick Sync""))"
eventIsAllDayByTitleNo	p2	Do we have planning all day this time?	"theEvent(called(""planning"")).isAllDay"
createWithAttendeesAndMeAtDateTime	p0	Create an event Friday at 2 pm with John, Dan, and me	"createEvent((createAt(2.pm on Friday) and with_(""John"") and with_(""Dan"")) and with_(me))"
createWithTeam	p3	Schedule strength training for tomorrow with my team	"createEvent((called(""strength training"") and createAt(tomorrow)) and with_(me.team))"
Query - change the date - DOW	p1	what do I have tomorrow?	findEvents(queryAt(tomorrow))
query first half of week	p0	What do I have in the first half of next week?	findEvents(queryAt(firstHalf(the(next[Interval[Date]] and isWeek))))
eventIsAllDayByTitleYes	p2	Do we have vacation all day this time?	"theEvent(called(""vacation"")).isAllDay"
eventStart4th	p2	What time is my fourth meeting tomorrow?	theEvent(nth[Event](4) and queryAt(tomorrow)).start
sayPersonOfficeLocation	p0	What is Jordan's office location?	"thePerson(""Jordan"").officeLocation"
callingPeopleWorkOneshot	p1	Call Leah, David and Josh on their work	"call(callWithType(""Leah"", ContactType.Business) and callWithType(""David"", ContactType.Business) and callWithType(""Josh"", ContactType.Business))"
findPersonNotFound	p0	Who is Bryan Stark?	"thePerson(""Bryan Stark"")"
Query - change multiple - attendee and DOW	p1	what are my meetings with David today?	"findEvents(with_(""David"") and queryAt(today))"
personAge	p0	What is Abby's age?	"thePerson(""Abby"").age"
minExample		What is my shortest meeting tomorrow?	min(findEvents(queryAt(tomorrow)), ev => ev.duration)
createWithOptionalAttendeeEyesOff	p1	Create an event with Bryan as an optional attendee.	"createEvent(withAs(""Bryan"", AttendeeType.optional))"
openFileWithTitleAndTypeOneShotSerpFallbackEyesOff	p2	Open SM annotation doc	"openFile(withTitle(""SM annotation"") and withType(""doc""))"
	p0	Make an event this week with Jenn.	"createEvent(with_(""Jenn"") and createAt(`this`[Interval[Date]] and isWeek))"
Binary query with attendee and timespan	p0	Am I meeting with Kelly this week?	"findEvents(with_(""Kelly"") and queryAt(`this`[Interval[Date]] and isWeek)).nonEmpty"
createSalientManagerEyesOff	p2	Create an event with her manager	createEvent(with_(her.manager))
findEmails-13	p1	I need to see the emails I sent out last week that are flagged	findEmails(messageSentAt(last[Interval[Date]] and isWeek) and messageFlagStatusIs(FlagStatus.flagged))
query x weeks from date	p0	What do I have two weeks from today?	findEvents(queryAt(today + 2.weeks))
checkAvailability6	p3	Am I free between 3 and 5 pm today?	availabilityIncludingMe(createAt(timeInterval(3.pm, 5.pm) on today)).nonEmpty
noEventWithAttendee2	p0	Search for meetings that include Jennifer.	"findEvents(with_(""Jennifer""))"
queryBySubject2	p0	What's on my schedule called Business talk?	"findEvents(called(""Business talk""))"
Create at midnight	p0	Schedule a meeting at midnight	createEvent(createAt(midnight))
basicUnflagMail	p1	Unflag this email.	unflagEmail(messageIdIs(theEmail(`this`[Email]).id))
createLaterTimeEyesOff	p0	Schedule a Team Sync for the late afternoon.	"createEvent(called(""Team Sync"") and createAt(late(afternoon)))"
